"","lsoa_code","lsoa_name","BAME_2011_perc","no_qualifications_perc","household_median_income","carownership_perc","la_code","la_name","food_pt","food_car","food_walk","avg_age","f_dairy","f_eggs","f_fats_oils","f_sweets","f_grains","f_sauces","f_fruit_veg","f_fish","f_meat_red","f_poultry","f_readymade","f_soft_drinks"
"2406","E01000483","Brent 009D",73.2378223495702,22.1,23404.5594250895,50.4,"E09000005","Brent",6.20737165307319,6.20737165307319,4.56438580416328,32.92498651,0.0924793974785788,0.0145991376957922,0.0303443759209736,0.164547290290891,0.155542214702832,0.01268897014681,0.253370081318561,0.0179555749604322,0.0456257163128309,0.0237133657152213,0.0517655405774164,0.047126562244174
"2407","E01000625","Brent 009E",56.25,24.4,32595.8132002919,67.3,"E09000005","Brent",6.502639187505,6.502639187505,7.27976663954974,38.86611675,0.0922958505353019,0.00983136239591351,0.0286893849275768,0.166293471415576,0.146630746623749,0.0148694982856343,0.286334056399132,0.0149394723952138,0.0432789867748933,0.0178084108879715,0.0599678119095935,0.0347771324609894
"2408","E01000498","Brent 010B",76.7261904761905,28.4,24977.2731710992,71.8,"E09000005","Brent",7.99061250332405,7.99061250332405,14.9094749387579,33.46746988,0.110160032068083,0.0131232462767106,0.0338688292066233,0.163115537602911,0.149215257007184,0.0157626961857482,0.258548919243933,0.0240942308285283,0.0487003175973605,0.0206160772100768,0.0462150411643181,0.0442601214886991
"2409","E01000622","Brent 010D",47.6971608832808,19.5,25371.18787555,54.4,"E09000005","Brent",6.37533017447654,6.37533017447654,5.11438695327771,33.40328054,0.0919767766278282,0.0115585433578233,0.0302249265966068,0.152240630272755,0.147285070879114,0.0134716815687733,0.270403486162962,0.0220808035180486,0.0658704114575722,0.0215759476012701,0.0599449972764352,0.0281390745193905
"2410","E01000626","Brent 010E",65,24,22663.3306143188,49.8,"E09000005","Brent",6.61037292945068,6.61037292945068,4.96440680233623,33.64547837,0.0985558048233315,0.0107263039820527,0.0320947840717891,0.173373527762199,0.159660684240045,0.0176388109927089,0.237128435221537,0.0192793045429052,0.0572490185081324,0.0221676948962423,0.0623527762198542,0.0351093662366797
"2411","E01033464","Brent 010F",76.1416280608868,28.5,25366.4749949185,71,"E09000005","Brent",7.21735546645057,7.21735546645057,11.0960640426623,34.59363101,0.122289769715075,0.0123907297838007,0.0422801728975037,0.16711619501662,0.163118810923345,0.0161559328067983,0.26876506758404,0.0179127695718968,0.0444046296905413,0.0161559328067983,0.041057352594043,0.0294250809731483
"2412","E01000497","Brent 011A",56.2072892938497,21.9,28732.4123350662,65,"E09000005","Brent",6.8977814326158,6.8977814326158,5.35387366544183,38.31845966,0.10591785608571,0.0108654061351642,0.0348631536390086,0.154591987755662,0.151141048132666,0.0193339253355281,0.288211214831821,0.0188141185303906,0.0530275136629775,0.0210882733028669,0.0486957902868323,0.0291091810876957
"2413","E01000499","Brent 011B",65.2424942263279,27.5,25333.9738452767,70.2,"E09000005","Brent",8.06220027232147,8.06220027232147,11.0417001444279,34.51348113,0.111571756922218,0.0124732383877874,0.0349852139854932,0.162402709456605,0.146907825489227,0.0168983022934433,0.271103187048454,0.0195762535890992,0.0576976779154942,0.0227769066082386,0.0496566637309446,0.0269227189081978
"2414","E01000501","Brent 011C",63.1270010672359,21,25105.1209406437,56.8,"E09000005","Brent",7.95707085950013,7.95707085950013,12.3603132807015,35.96276309,0.109468809284678,0.0121024439236692,0.0349793549827028,0.166722464010713,0.152198415355429,0.016739203213927,0.257114161365919,0.0230275638879589,0.0560428523602277,0.0254268496819551,0.0497544916861957,0.0281162816649927
"2415","E01000502","Brent 011D",55.3481694185212,20.4,28788.2029555466,68.2,"E09000005","Brent",7.68576148314481,7.68576148314481,12.4357836877302,34.32769679,0.103194401574684,0.0142844854195024,0.0313874116390979,0.152124962682225,0.15300540917992,0.0166576429334049,0.283468351996438,0.0232458115540893,0.0596629003122043,0.0239289165954045,0.0425144337565211,0.0267018170594099
"2416","E01000503","Brent 011E",49.1361788617886,20.8,28869.5850279185,62.7,"E09000005","Brent",7.54944531746975,7.54944531746975,10.5655063558407,37.43161546,0.114414775753352,0.012532300591109,0.0338621972949693,0.156364449295469,0.149513107629186,0.0180094288137711,0.285593114467377,0.0210405886104664,0.0491889510609059,0.0224937042613767,0.0501489279162584,0.0246240638581864
"2417","E01000570","Brent 012A",75.5541481950602,20,26083.8136365296,61.6,"E09000005","Brent",7.01288491505005,7.01288491505005,6.89313847641131,37.23931116,0.113045714180763,0.0142248425073925,0.02982717137767,0.163415798850258,0.158704795489191,0.010230132055026,0.276792109758113,0.0186144323837861,0.0420500670376697,0.021837750472937,0.0466141385200287,0.030929160467978
"2418","E01000571","Brent 012B",72.290568248389,18.9,36770.0500378269,80.5,"E09000005","Brent",6.62618437632552,6.62618437632552,6.9788677340181,38.67477376,0.107121817110689,0.0131979446226353,0.0327943968056556,0.159913595601231,0.155069712639916,0.0121833475158735,0.299797080578648,0.0185327616678667,0.044175885317798,0.0206355959939779,0.0428912744648818,0.0312888656149768
"2419","E01000576","Brent 012C",73.433734939759,15.3,38013.7229229371,70,"E09000005","Brent",6.52106722635299,6.52106722635299,5.73041184026583,38.90389151,0.12773377703827,0.00873211314475873,0.0306955074875208,0.195207986688852,0.153650582362729,0.0113410981697171,0.276113144758735,0.0122462562396007,0.0324126455906822,0.0128718801996672,0.0415574043261231,0.0356073211314476
"2420","E01000578","Brent 012D",60.2965403624382,19.1,32305.0087603028,62.7,"E09000005","Brent",6.19718438290347,6.19718438290347,5.20608129687692,39.28093812,0.104412196698196,0.0131719640444157,0.0334527936078961,0.160131602138535,0.160542858821456,0.0131954644262969,0.278655778156395,0.0250749074672463,0.0418894307032489,0.0191058104694201,0.0509370777275131,0.028811468186358
"2421","E01000564","Brent 013A",68.9171974522293,17.4,31316.1295204598,69.3,"E09000005","Brent",6.0514130583655,6.0514130583655,5.43793474346017,34.82260974,0.119679419776289,0.015523964862023,0.029822571430937,0.1653240161946,0.147183745787831,0.0123860540979127,0.277237313815915,0.0155653621016551,0.0421589488412913,0.0230665419229846,0.0453382568450336,0.028357109147962
"2422","E01000565","Brent 013B",74.6096401900883,18.6,35951.8455243594,68.6,"E09000005","Brent",6.12448685011558,6.12448685011558,3.91631802325503,37.95727554,0.116490120496555,0.0115640270737852,0.0356936898655416,0.150797745874688,0.139931809674123,0.0140731073137666,0.305440050181605,0.017634382493095,0.0441213666393501,0.0177355550834168,0.0466102123612671,0.0313736202587995
"2423","E01000607","Brent 013C",78.587494376968,17.7,31672.5528535681,69.3,"E09000005","Brent",7.31005993596234,7.31005993596234,7.97407799298679,35.81858019,0.120146710940382,0.0125008138550687,0.0314256570523255,0.164044244778668,0.157084879657964,0.0110322575977892,0.264332892043029,0.0172392589216601,0.0436443344835818,0.0213266199333,0.0468635834219531,0.0331618811988628
"2424","E01000608","Brent 013D",80.3800265134777,15.8,27881.898199741,60.1,"E09000005","Brent",7.05677101378859,7.05677101378859,4.60416900620474,34.58842975,0.12378825763147,0.0146746179250959,0.0329527069488829,0.157844067977911,0.150951343111955,0.011779807190897,0.291673909264732,0.0173421225046464,0.0387423284172806,0.0222559467301341,0.0410488173394483,0.0299977269384535
"2425","E01000613","Brent 013E",73.1619844590556,16.8,28853.9185902933,57,"E09000005","Brent",5.88784025217985,5.88784025217985,4.59112672095198,33.24876982,0.125624780249705,0.0147672198054477,0.0281142494708758,0.164576597196848,0.153732135593688,0.0101550489138303,0.291959379804345,0.0128230760215373,0.0344154814513516,0.0193242376819188,0.042295468490393,0.0281073553439825
"2426","E01000506","Brent 014A",57.6301615798923,19.6,23260.8739532247,45.1,"E09000005","Brent",6.42969554035191,6.42969554035191,5.9680365857496,32.18005391,0.116078381174864,0.0140911175824293,0.0302409677109668,0.151492847771129,0.168922738860977,0.0151898194075544,0.268125913362561,0.0204273203409176,0.0538363894311285,0.0214086850779225,0.0451534449102371,0.0298036203825189
"2427","E01000509","Brent 014B",66.5519614590502,26.7,25619.6978876853,70,"E09000005","Brent",6.16274416379743,6.16274416379743,4.46300003773095,36.70619236,0.102980764155425,0.0120346561903828,0.034347029415535,0.16264129033231,0.158999223327326,0.0145079439287572,0.287753455439348,0.0183460642300761,0.0467964137327794,0.0175316889991479,0.0437274255940038,0.0301997481469193
"2428","E01000510","Brent 014C",58.9958158995816,21.8,26577.8920502291,58.2,"E09000005","Brent",6.1879737288889,6.1879737288889,4.36621024083662,34.61816065,0.105103115872085,0.0132546006270858,0.038735482080108,0.173666180895963,0.148374560756036,0.0147497650005362,0.264896442518185,0.0205663960229889,0.0505012270441799,0.0202194169489815,0.0437509068771252,0.038394811716537
